Ligand_ID,Target,Affinity
compound_11569386_3d,P0,-12.3
compound_124138019_3d,P0,-11.4
compound_73952742_3d,P0,-11.3
compound_9420494_3d,P0,-11.2
compound_52056924_3d,P0,-11.2
ml184_similar_2712773,P0,-11.2
compound_33926475_3d,P0,-11.2
compound_58935799_3d,P0,-11.1
compound_76358219_3d,P0,-11.1
compound_1756196_3d,P0,-11.1
compound_5505049_3d,P0,-11.1
CHEMBL5095409,P0,-11.1
CHEMBL5095040,P0,-11.1
compound_99443216_3d,P0,-11.1
compound_66497962_3d,P0,-11.1
compound_92504162_3d,P0,-11.1
compound_78231414_3d,P0,-11.0
compound_39261906_3d,P0,-11.0
ml184_similar_55918872,P0,-11.0
compound_42429847_3d,P0,-11.0
compound_32242944_3d,P0,-11.0
compound_16612948_3d,P0,-11.0
compound_90112252_3d,P0,-11.0
compound_100881027_3d,P0,-10.9
compound_44634125_3d,P0,-10.9
compound_91344013_3d,P0,-10.9
compound_30952836_3d,P0,-10.9
CHEMBL2103870,P0,-10.9
compound_32853070_3d,P0,-10.9
compound_2902498_3d,P0,-10.9
compound_67190264_3d,P0,-10.9
compound_118574738_3d,P0,-10.9
CHEMBL3301613,P0,-10.9
compound_16376183_3d,P0,-10.8
compound_43921313_3d,P0,-10.8
compound_44759108_3d,P0,-10.8
compound_27361529_3d,P0,-10.8
ml184_similar_55330611,P0,-10.8
compound_69204715_3d,P0,-10.8
CHEMBL2035087,P0,-10.8
compound_45159495_3d,P0,-10.7
compound_6522169_3d,P0,-10.7
ml184_similar_28590207,P0,-10.7
compound_1180683_3d,P0,-10.7
CHEMBL3989833,P0,-10.7
compound_110608808_3d,P0,-10.7
compound_29184558_3d,P0,-10.7
compound_52454046_3d,P0,-10.7
CHEMBL1375743,P0,-10.7
CHEMBL708,P0,-10.7
compound_25534909_3d,P0,-10.7
compound_76671761_3d,P0,-10.7
compound_34593514_3d,P0,-10.7
compound_92824121_3d,P0,-10.6
ml184_similar_55963011,P0,-10.6
compound_95066825_3d,P0,-10.6
compound_121058031_3d,P0,-10.6
compound_145046627_3d,P0,-10.6
compound_69061981_3d,P0,-10.6
compound_27763863_3d,P0,-10.6
compound_27756516_3d,P0,-10.6
compound_53029457_3d,P0,-10.6
compound_33925953_3d,P0,-10.6
compound_10047628_3d,P0,-10.6
compound_26997131_3d,P0,-10.6
CHEMBL567303,P0,-10.6
compound_117078543_3d,P0,-10.6
compound_35902630_3d,P0,-10.6
compound_39098650_3d,P0,-10.6
compound_46596965_3d,P0,-10.6
compound_37514348_3d,P0,-10.6
compound_133425711_3d,P0,-10.6
compound_1037776_3d,P0,-10.6
compound_16896372_3d,P0,-10.5
compound_139390019_3d,P0,-10.5
compound_39651808_3d,P0,-10.5
