Rank,Target,Ligand_ID,Affinity,File
1,P0,compound_11569386_3d,-12.3,compound_11569386_3d_P0.pdbqt
2,P0,compound_124138019_3d,-11.4,compound_124138019_3d_P0.pdbqt
3,P0,compound_73952742_3d,-11.3,compound_73952742_3d_P0.pdbqt
4,P0,compound_9420494_3d,-11.2,compound_9420494_3d_P0.pdbqt
5,P0,compound_52056924_3d,-11.2,compound_52056924_3d_P0.pdbqt
6,P0,ml184_similar_2712773,-11.2,ml184_similar_2712773_P0.pdbqt
7,P0,compound_33926475_3d,-11.2,compound_33926475_3d_P0.pdbqt
8,P0,compound_58935799_3d,-11.1,compound_58935799_3d_P0.pdbqt
9,P0,compound_76358219_3d,-11.1,compound_76358219_3d_P0.pdbqt
10,P0,compound_1756196_3d,-11.1,compound_1756196_3d_P0.pdbqt
11,P0,compound_5505049_3d,-11.1,compound_5505049_3d_P0.pdbqt
12,P0,CHEMBL5095409,-11.1,CHEMBL5095409_P0.pdbqt
13,P0,CHEMBL5095040,-11.1,CHEMBL5095040_P0.pdbqt
14,P0,compound_99443216_3d,-11.1,compound_99443216_3d_P0.pdbqt
15,P0,compound_66497962_3d,-11.1,compound_66497962_3d_P0.pdbqt
16,P0,compound_92504162_3d,-11.1,compound_92504162_3d_P0.pdbqt
17,P0,compound_78231414_3d,-11.0,compound_78231414_3d_P0.pdbqt
18,P0,compound_39261906_3d,-11.0,compound_39261906_3d_P0.pdbqt
19,P0,ml184_similar_55918872,-11.0,ml184_similar_55918872_P0.pdbqt
20,P0,compound_42429847_3d,-11.0,compound_42429847_3d_P0.pdbqt
21,P0,compound_32242944_3d,-11.0,compound_32242944_3d_P0.pdbqt
22,P0,compound_16612948_3d,-11.0,compound_16612948_3d_P0.pdbqt
23,P0,compound_90112252_3d,-11.0,compound_90112252_3d_P0.pdbqt
24,P0,compound_100881027_3d,-10.9,compound_100881027_3d_P0.pdbqt
25,P0,compound_44634125_3d,-10.9,compound_44634125_3d_P0.pdbqt
1,P3,compound_3992081_3d,-8.5,compound_3992081_3d_P3.pdbqt
2,P3,compound_108764111_3d,-8.4,compound_108764111_3d_P3.pdbqt
3,P3,compound_142047610_3d,-8.3,compound_142047610_3d_P3.pdbqt
4,P3,compound_20907571_3d,-8.2,compound_20907571_3d_P3.pdbqt
5,P3,compound_45803381_3d,-8.2,compound_45803381_3d_P3.pdbqt
6,P3,CHEMBL2146110,-8.2,CHEMBL2146110_P3.pdbqt
7,P3,compound_40035893_3d,-8.1,compound_40035893_3d_P3.pdbqt
8,P3,compound_2961621_3d,-8.1,compound_2961621_3d_P3.pdbqt
9,P3,compound_4423495_3d,-8.1,compound_4423495_3d_P3.pdbqt
10,P3,compound_99526210_3d,-8.1,compound_99526210_3d_P3.pdbqt
11,P3,CHEMBL2106252,-8.1,CHEMBL2106252_P3.pdbqt
12,P3,compound_35932355_3d,-8.0,compound_35932355_3d_P3.pdbqt
13,P3,CHEMBL5095073,-8.0,CHEMBL5095073_P3.pdbqt
14,P3,CHEMBL278519,-8.0,CHEMBL278519_P3.pdbqt
15,P3,compound_139496505_3d,-8.0,compound_139496505_3d_P3.pdbqt
16,P3,compound_147997145_3d,-8.0,compound_147997145_3d_P3.pdbqt
17,P3,compound_7502956_3d,-8.0,compound_7502956_3d_P3.pdbqt
18,P3,compound_16947356_3d,-7.9,compound_16947356_3d_P3.pdbqt
19,P3,compound_66497962_3d,-7.9,compound_66497962_3d_P3.pdbqt
20,P3,compound_22643709_3d,-7.9,compound_22643709_3d_P3.pdbqt
21,P3,compound_145822060_3d,-7.8,compound_145822060_3d_P3.pdbqt
22,P3,compound_40577275_3d,-7.8,compound_40577275_3d_P3.pdbqt
23,P3,compound_33029366_3d,-7.8,compound_33029366_3d_P3.pdbqt
24,P3,compound_25894666_3d,-7.8,compound_25894666_3d_P3.pdbqt
25,P3,compound_97156478_3d,-7.8,compound_97156478_3d_P3.pdbqt
1,Interface,CHEMBL432162,-9.6,CHEMBL432162_Interface.pdbqt
2,Interface,compound_92261630_3d,-9.1,compound_92261630_3d_Interface.pdbqt
3,Interface,compound_5505049_3d,-9.0,compound_5505049_3d_Interface.pdbqt
4,Interface,CHEMBL5314458,-9.0,CHEMBL5314458_Interface.pdbqt
5,Interface,compound_75565338_3d,-8.9,compound_75565338_3d_Interface.pdbqt
6,Interface,CHEMBL479132,-8.9,CHEMBL479132_Interface.pdbqt
7,Interface,compound_121547889_3d,-8.6,compound_121547889_3d_Interface.pdbqt
8,Interface,CHEMBL1743213,-8.6,CHEMBL1743213_Interface.pdbqt
9,Interface,compound_127433005_3d,-8.6,compound_127433005_3d_Interface.pdbqt
10,Interface,compound_92567919_3d,-8.6,compound_92567919_3d_Interface.pdbqt
11,Interface,compound_73976231_3d,-8.6,compound_73976231_3d_Interface.pdbqt
12,Interface,CHEMBL518374,-8.6,CHEMBL518374_Interface.pdbqt
13,Interface,compound_51001603_3d,-8.6,compound_51001603_3d_Interface.pdbqt
14,Interface,compound_136951058_3d,-8.6,compound_136951058_3d_Interface.pdbqt
15,Interface,compound_89703645_3d,-8.5,compound_89703645_3d_Interface.pdbqt
16,Interface,compound_69204715_3d,-8.5,compound_69204715_3d_Interface.pdbqt
17,Interface,compound_53715463_3d,-8.5,compound_53715463_3d_Interface.pdbqt
18,Interface,compound_3992081_3d,-8.5,compound_3992081_3d_Interface.pdbqt
19,Interface,compound_142313272_3d,-8.5,compound_142313272_3d_Interface.pdbqt
20,Interface,compound_122394621_3d,-8.5,compound_122394621_3d_Interface.pdbqt
21,Interface,compound_54253722_3d,-8.5,compound_54253722_3d_Interface.pdbqt
22,Interface,compound_137019925_3d,-8.5,compound_137019925_3d_Interface.pdbqt
23,Interface,compound_145899651_3d,-8.5,compound_145899651_3d_Interface.pdbqt
24,Interface,compound_139496505_3d,-8.4,compound_139496505_3d_Interface.pdbqt
25,Interface,compound_47925743_3d,-8.4,compound_47925743_3d_Interface.pdbqt
